ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,0.033452239981902436,0.016187380779637335,0.012963512228709438,0.033452239981902436,0.016187380779637335,0.012963512228709438
ID_1UKOKW,0.03539986725573976,0.03243694370808552,0.03663239003125305,0.03539986725573976,0.03243694370808552,0.03663239003125305
ID_U5H2YK,0.2449114482642147,0.4186221684935677,0.5302469891871717,0.2449114482642147,0.4186221684935677,0.5302469891871717
ID_55957A,0.22817136655679462,0.415105877672476,0.5291260596596445,0.22817136655679462,0.415105877672476,0.5291260596596445
ID_N1AC0A,0.03304224693191833,0.012914342518804547,0.012910319356682479,0.03304224693191833,0.012914342518804547,0.012910319356682479
ID_4R3SGT,0.03334319785611282,0.026596361242779077,0.035694176908001536,0.03334319785611282,0.026596361242779077,0.035694176908001536
ID_NVW38U,0.1242645112748185,0.33161427812498356,0.1771758335530178,0.1242645112748185,0.33161427812498356,0.1771758335530178
ID_15LAWX,0.033452239981902436,0.016187380779637335,0.012963512228709438,0.033452239981902436,0.016187380779637335,0.012963512228709438
ID_DPNOLZ,0.037308961323675977,0.019542235342014942,0.049552671629734396,0.037308961323675977,0.019542235342014942,0.049552671629734396
ID_GXO4MZ,0.03334319785611282,0.02845589188311397,0.03445528143137638,0.03334319785611282,0.02845589188311397,0.03445528143137638
ID_TWJ95S,0.037308961323675977,0.019542235342014942,0.049552671629734396,0.037308961323675977,0.019542235342014942,0.049552671629734396
ID_F6RQR5,0.03304224693191833,0.012921548157339665,0.012910319356682479,0.03304224693191833,0.012921548157339665,0.012910319356682479
ID_OD0S5Q,0.22958054505828288,0.47099608746732113,0.554390147604072,0.22958054505828288,0.47099608746732113,0.554390147604072
ID_L4DEEY,0.0907412774600818,0.1262460882180539,0.3825379799193347,0.0907412774600818,0.1262460882180539,0.3825379799193347
ID_H0WWMP,0.03334319785611282,0.026596361242779077,0.035694176908001536,0.03334319785611282,0.026596361242779077,0.035694176908001536
ID_NK0GGQ,0.03304224693191833,0.012914342518804547,0.012910319356682479,0.03304224693191833,0.012914342518804547,0.012910319356682479
ID_C3E07L,0.0344950902691338,0.020411955579810404,0.04559436143875527,0.0344950902691338,0.020411955579810404,0.04559436143875527
ID_8ZHOIS,0.033452239981902436,0.016187380779637335,0.012963512228709438,0.033452239981902436,0.016187380779637335,0.012963512228709438
ID_WEM7E6,0.18014578397190145,0.3487238930958916,0.7295826113468462,0.18014578397190145,0.3487238930958916,0.7295826113468462
ID_EI276D,0.1242645112748185,0.33161427812498356,0.1771758335530178,0.1242645112748185,0.33161427812498356,0.1771758335530178
ID_WY9YFZ,0.03334319785611282,0.026696664858056208,0.034693465207555355,0.03334319785611282,0.026696664858056208,0.034693465207555355
ID_VGITCI,0.037308961323675977,0.019542235342014942,0.049552671629734396,0.037308961323675977,0.019542235342014942,0.049552671629734396
ID_NHFYZX,0.03304224693191833,0.012921548157339665,0.012910319356682479,0.03304224693191833,0.012921548157339665,0.012910319356682479
ID_PZPP2T,0.03334319785611282,0.026703275067311308,0.035792819215374284,0.03334319785611282,0.026703275067311308,0.035792819215374284
