ID,Target_07_AUC,Target_07_LogLoss,Target_90_AUC,Target_90_LogLoss,Target_120_AUC,Target_120_LogLoss,Target_AUC,Target_LogLoss
ID_LEG1GM,0.024079788482056087,0.024079788482056087,0.011775806887461947,0.011775806887461947,0.013551364114837015,0.013551364114837015,0.024079788482056087,0.024079788482056087
ID_1UKOKW,0.024079788482056087,0.024079788482056087,0.010957470411788912,0.010957470411788912,0.012530980134230083,0.012530980134230083,0.024079788482056087,0.024079788482056087
ID_U5H2YK,0.48246029834506277,0.48246029834506277,0.34608270439264266,0.34608270439264266,0.3153593615576707,0.3153593615576707,0.48246029834506277,0.48246029834506277
ID_55957A,0.3448341899176465,0.3448341899176465,0.29082685719207285,0.29082685719207285,0.22580729815103712,0.22580729815103712,0.3448341899176465,0.3448341899176465
ID_N1AC0A,0.024079788482056087,0.024079788482056087,0.010846062657812471,0.010846062657812471,0.012526626038881281,0.012526626038881281,0.024079788482056087,0.024079788482056087
ID_4R3SGT,0.024079788482056087,0.024079788482056087,0.010859344993984263,0.010859344993984263,0.012540011094231193,0.012540011094231193,0.024079788482056087,0.024079788482056087
ID_NVW38U,0.4648271590704368,0.4648271590704368,0.404105876696267,0.404105876696267,0.42501774164076406,0.42501774164076406,0.4648271590704368,0.4648271590704368
ID_15LAWX,0.024079788482056087,0.024079788482056087,0.011775806887461947,0.011775806887461947,0.013551364114837015,0.013551364114837015,0.024079788482056087,0.024079788482056087
ID_DPNOLZ,0.024079788482056087,0.024079788482056087,0.011895325882112482,0.011895325882112482,0.01279398485417064,0.01279398485417064,0.024079788482056087,0.024079788482056087
ID_GXO4MZ,0.024079788482056087,0.024079788482056087,0.010839919774071881,0.010839919774071881,0.012346769888675523,0.012346769888675523,0.024079788482056087,0.024079788482056087
ID_TWJ95S,0.024079788482056087,0.024079788482056087,0.011895325882112482,0.011895325882112482,0.01279398485417064,0.01279398485417064,0.024079788482056087,0.024079788482056087
ID_F6RQR5,0.024079788482056087,0.024079788482056087,0.010860603285115018,0.010860603285115018,0.012526626038881281,0.012526626038881281,0.024079788482056087,0.024079788482056087
ID_OD0S5Q,0.35481754330827786,0.35481754330827786,0.2983760871965842,0.2983760871965842,0.235679548114922,0.235679548114922,0.35481754330827786,0.35481754330827786
ID_L4DEEY,0.05538628220658675,0.05538628220658675,0.06847059267777997,0.06847059267777997,0.07572020506474858,0.07572020506474858,0.05538628220658675,0.05538628220658675
ID_H0WWMP,0.024079788482056087,0.024079788482056087,0.010859344993984263,0.010859344993984263,0.012540011094231193,0.012540011094231193,0.024079788482056087,0.024079788482056087
ID_NK0GGQ,0.024079788482056087,0.024079788482056087,0.010846062657812471,0.010846062657812471,0.012526626038881281,0.012526626038881281,0.024079788482056087,0.024079788482056087
ID_C3E07L,0.024079788482056087,0.024079788482056087,0.012290988549467847,0.012290988549467847,0.013222366798546959,0.013222366798546959,0.024079788482056087,0.024079788482056087
ID_8ZHOIS,0.024079788482056087,0.024079788482056087,0.026410276603189908,0.026410276603189908,0.015977630422842982,0.015977630422842982,0.024079788482056087,0.024079788482056087
ID_WEM7E6,0.13825523621383,0.13825523621383,0.25337008311428555,0.25337008311428555,0.23005075810051728,0.23005075810051728,0.13825523621383,0.13825523621383
ID_EI276D,0.4648271590704368,0.4648271590704368,0.404105876696267,0.404105876696267,0.4251200709154247,0.4251200709154247,0.4648271590704368,0.4648271590704368
ID_WY9YFZ,0.024079788482056087,0.024079788482056087,0.010845272877165791,0.010845272877165791,0.012540011094231193,0.012540011094231193,0.024079788482056087,0.024079788482056087
ID_VGITCI,0.024079788482056087,0.024079788482056087,0.011895325882112482,0.011895325882112482,0.01279398485417064,0.01279398485417064,0.024079788482056087,0.024079788482056087
ID_NHFYZX,0.024079788482056087,0.024079788482056087,0.010860603285115018,0.010860603285115018,0.012526626038881281,0.012526626038881281,0.024079788482056087,0.024079788482056087
ID_PZPP2T,0.024079788482056087,0.024079788482056087,0.0108600508501853,0.0108600508501853,0.012540011094231193,0.012540011094231193,0.024079788482056087,0.024079788482056087
ID_YSGK3Y,0.024079788482056087,0.024079788482056087,0.010846062657812471,0.010846062657812471,0.012526626038881281,0.012526626038881281,0.024079788482056087,0.024079788482056087
ID_RT29AK,0.024079788482056087,0.024079788482056087,0.010913143220597978,0.010913143220597978,0.012533841216236782,0.012533841216236782,0.024079788482056087,0.024079788482056087
ID_AUK2TM,0.4854708327973767,0.4854708327973767,0.35720073000829167,0.35720073000829167,0.32942984001009196,0.32942984001009196,0.4854708327973767,0.4854708327973767
ID_QZA91L,0.44485181921338385,0.44485181921338385,0.34138196324937065,0.34138196324937065,0.3263077125188618,0.3263077125188618,0.44485181921338385,0.44485181921338385
ID_CWTE3D,0.6270367573043811,0.6270367573043811,0.5421451479180803,0.5421451479180803,0.5482395090975573,0.5482395090975573,0.6270367573043811,0.6270367573043811
ID_E04V5D,0.024079788482056087,0.024079788482056087,0.010860603285115018,0.010860603285115018,0.012526626038881281,0.012526626038881281,0.024079788482056087,0.024079788482056087
ID_XTGV9Y,0.024079788482056087,0.024079788482056087,0.011775806887461947,0.011775806887461947,0.013551364114837015,0.013551364114837015,0.024079788482056087,0.024079788482056087
ID_ADLLTR,0.024079788482056087,0.024079788482056087,0.011775806887461947,0.011775806887461947,0.013551364114837015,0.013551364114837015,0.024079788482056087,0.024079788482056087
ID_938PPA,0.024079788482056087,0.024079788482056087,0.026410276603189908,0.026410276603189908,0.015977630422842982,0.015977630422842982,0.024079788482056087,0.024079788482056087
